block,timestamp,trade_size_usdc,uniswap_price,sushiswap_price,signed_spread,absolute_spread,relative_spread_pct,spot_buy_dex,spot_sell_dex,route_a_pnl,route_a_return_pct,route_b_pnl,route_b_return_pct,best_route,best_final_usdc,best_pnl_before_gas,best_return_before_gas_pct,profitable_before_gas
26011769,2026-09-19 13:09:59+00:00,100.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-0.539021,-0.539021,-0.299797,-0.299797,Uniswap V3 -> SushiSwap V2,99.700203,-0.299797,-0.299797,False
26011769,2026-09-19 13:09:59+00:00,500.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-4.080703,-0.8161406,-2.888889,-0.5777778,Uniswap V3 -> SushiSwap V2,497.111111,-2.888889,-0.5777778,False
26011769,2026-09-19 13:09:59+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
26011769,2026-09-19 13:09:59+00:00,5000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-191.52839,-3.8305678,-180.075192,-3.60150384,Uniswap V3 -> SushiSwap V2,4819.924808,-180.075192,-3.60150384,False
26011769,2026-09-19 13:09:59+00:00,10000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-697.205095,-6.97205095,-675.254079,-6.75254079,Uniswap V3 -> SushiSwap V2,9324.745921,-675.254079,-6.75254079,False
26011770,2026-09-19 13:10:23+00:00,100.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-0.539021,-0.539021,-0.299797,-0.299797,Uniswap V3 -> SushiSwap V2,99.700203,-0.299797,-0.299797,False
26011770,2026-09-19 13:10:23+00:00,500.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-4.080703,-0.8161406,-2.888889,-0.5777778,Uniswap V3 -> SushiSwap V2,497.111111,-2.888889,-0.5777778,False
26011770,2026-09-19 13:10:23+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
26011770,2026-09-19 13:10:23+00:00,5000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-191.52839,-3.8305678,-180.075192,-3.60150384,Uniswap V3 -> SushiSwap V2,4819.924808,-180.075192,-3.60150384,False
26011770,2026-09-19 13:10:23+00:00,10000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-697.205095,-6.97205095,-675.254079,-6.75254079,Uniswap V3 -> SushiSwap V2,9324.745921,-675.254079,-6.75254079,False
