block,timestamp,trade_size_usdc,uniswap_price,sushiswap_price,signed_spread,absolute_spread,relative_spread_pct,spot_buy_dex,spot_sell_dex,route_a_pnl,route_a_return_pct,route_b_pnl,route_b_return_pct,best_route,best_final_usdc,best_pnl_before_gas,best_return_before_gas_pct,profitable_before_gas
26011544,2026-09-19 12:24:35+00:00,100.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-0.388492,-0.388492,-0.450403,-0.450403,SushiSwap V2 -> Uniswap V3,99.611508,-0.388492,-0.388492,False
26011544,2026-09-19 12:24:35+00:00,500.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-3.330633,-0.6661266,-3.638212,-0.7276424,SushiSwap V2 -> Uniswap V3,496.669367,-3.330633,-0.6661266,False
26011544,2026-09-19 12:24:35+00:00,1000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-10.110022,-1.0110022,-10.720275,-1.0720275,SushiSwap V2 -> Uniswap V3,989.889978,-10.110022,-1.0110022,False
26011544,2026-09-19 12:24:35+00:00,5000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-184.306313,-3.68612626,-187.170664,-3.74341328,SushiSwap V2 -> Uniswap V3,4815.693687,-184.306313,-3.68612626,False
26011544,2026-09-19 12:24:35+00:00,10000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-683.334914,-6.83334914,-688.638667,-6.88638667,SushiSwap V2 -> Uniswap V3,9316.665086,-683.334914,-6.83334914,False
26011545,2026-09-19 12:24:47+00:00,100.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-0.388492,-0.388492,-0.450403,-0.450403,SushiSwap V2 -> Uniswap V3,99.611508,-0.388492,-0.388492,False
26011545,2026-09-19 12:24:47+00:00,500.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-3.330633,-0.6661266,-3.638212,-0.7276424,SushiSwap V2 -> Uniswap V3,496.669367,-3.330633,-0.6661266,False
26011545,2026-09-19 12:24:47+00:00,1000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-10.110022,-1.0110022,-10.720275,-1.0720275,SushiSwap V2 -> Uniswap V3,989.889978,-10.110022,-1.0110022,False
26011545,2026-09-19 12:24:47+00:00,5000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-184.306313,-3.68612626,-187.170664,-3.74341328,SushiSwap V2 -> Uniswap V3,4815.693687,-184.306313,-3.68612626,False
26011545,2026-09-19 12:24:47+00:00,10000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-683.334914,-6.83334914,-688.638667,-6.88638667,SushiSwap V2 -> Uniswap V3,9316.665086,-683.334914,-6.83334914,False
26011546,2026-09-19 12:24:59+00:00,100.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-0.388492,-0.388492,-0.450403,-0.450403,SushiSwap V2 -> Uniswap V3,99.611508,-0.388492,-0.388492,False
26011546,2026-09-19 12:24:59+00:00,500.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-3.330633,-0.6661266,-3.638212,-0.7276424,SushiSwap V2 -> Uniswap V3,496.669367,-3.330633,-0.6661266,False
26011546,2026-09-19 12:24:59+00:00,1000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-10.110022,-1.0110022,-10.720275,-1.0720275,SushiSwap V2 -> Uniswap V3,989.889978,-10.110022,-1.0110022,False
26011546,2026-09-19 12:24:59+00:00,5000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-184.306313,-3.68612626,-187.170664,-3.74341328,SushiSwap V2 -> Uniswap V3,4815.693687,-184.306313,-3.68612626,False
26011546,2026-09-19 12:24:59+00:00,10000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-683.334914,-6.83334914,-688.638667,-6.88638667,SushiSwap V2 -> Uniswap V3,9316.665086,-683.334914,-6.83334914,False
26011547,2026-09-19 12:25:11+00:00,100.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-0.388492,-0.388492,-0.450403,-0.450403,SushiSwap V2 -> Uniswap V3,99.611508,-0.388492,-0.388492,False
26011547,2026-09-19 12:25:11+00:00,500.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-3.330633,-0.6661266,-3.638212,-0.7276424,SushiSwap V2 -> Uniswap V3,496.669367,-3.330633,-0.6661266,False
26011547,2026-09-19 12:25:11+00:00,1000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-10.110022,-1.0110022,-10.720275,-1.0720275,SushiSwap V2 -> Uniswap V3,989.889978,-10.110022,-1.0110022,False
26011547,2026-09-19 12:25:11+00:00,5000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-184.306313,-3.68612626,-187.170664,-3.74341328,SushiSwap V2 -> Uniswap V3,4815.693687,-184.306313,-3.68612626,False
26011547,2026-09-19 12:25:11+00:00,10000.0,2640.4570291183036,2639.6355905761307,-0.8214385421730999,0.8214385421730999,0.03111939182460453,SushiSwap V2,Uniswap V3,-683.334914,-6.83334914,-688.638667,-6.88638667,SushiSwap V2 -> Uniswap V3,9316.665086,-683.334914,-6.83334914,False
26011548,2026-09-19 12:25:23+00:00,100.0,2640.4550745518613,2639.6355905761307,-0.8194839757307556,0.8194839757307556,0.03104534499596946,SushiSwap V2,Uniswap V3,-0.388565,-0.388565,-0.45033,-0.45033,SushiSwap V2 -> Uniswap V3,99.611435,-0.388565,-0.388565,False
26011548,2026-09-19 12:25:23+00:00,500.0,2640.4550745518613,2639.6355905761307,-0.8194839757307556,0.8194839757307556,0.03104534499596946,SushiSwap V2,Uniswap V3,-3.331001,-0.6662002,-3.637845,-0.727569,SushiSwap V2 -> Uniswap V3,496.668999,-3.331001,-0.6662002,False
26011548,2026-09-19 12:25:23+00:00,1000.0,2640.4550745518613,2639.6355905761307,-0.8194839757307556,0.8194839757307556,0.03104534499596946,SushiSwap V2,Uniswap V3,-10.110755,-1.0110755,-10.719548,-1.0719548,SushiSwap V2 -> Uniswap V3,989.889245,-10.110755,-1.0110755,False
26011548,2026-09-19 12:25:23+00:00,5000.0,2640.4550745518613,2639.6355905761307,-0.8194839757307556,0.8194839757307556,0.03104534499596946,SushiSwap V2,Uniswap V3,-184.309877,-3.68619754,-187.167222,-3.74334444,SushiSwap V2 -> Uniswap V3,4815.690123,-184.309877,-3.68619754,False
26011548,2026-09-19 12:25:23+00:00,10000.0,2640.4550745518613,2639.6355905761307,-0.8194839757307556,0.8194839757307556,0.03104534499596946,SushiSwap V2,Uniswap V3,-683.34181,-6.8334181,-688.632224,-6.88632224,SushiSwap V2 -> Uniswap V3,9316.65819,-683.34181,-6.8334181,False
26011549,2026-09-19 12:25:35+00:00,100.0,2640.456680474612,2639.6355905761307,-0.8210898984810766,0.8210898984810766,0.03110618380099445,SushiSwap V2,Uniswap V3,-0.388505,-0.388505,-0.45039,-0.45039,SushiSwap V2 -> Uniswap V3,99.611495,-0.388505,-0.388505,False
26011549,2026-09-19 12:25:35+00:00,500.0,2640.456680474612,2639.6355905761307,-0.8210898984810766,0.8210898984810766,0.03110618380099445,SushiSwap V2,Uniswap V3,-3.330699,-0.6661398,-3.638146,-0.7276292,SushiSwap V2 -> Uniswap V3,496.669301,-3.330699,-0.6661398,False
26011549,2026-09-19 12:25:35+00:00,1000.0,2640.456680474612,2639.6355905761307,-0.8210898984810766,0.8210898984810766,0.03110618380099445,SushiSwap V2,Uniswap V3,-10.110153,-1.0110153,-10.720145,-1.0720145,SushiSwap V2 -> Uniswap V3,989.889847,-10.110153,-1.0110153,False
26011549,2026-09-19 12:25:35+00:00,5000.0,2640.456680474612,2639.6355905761307,-0.8210898984810766,0.8210898984810766,0.03110618380099445,SushiSwap V2,Uniswap V3,-184.306948,-3.68613896,-187.17005,-3.743401,SushiSwap V2 -> Uniswap V3,4815.693052,-184.306948,-3.68613896,False
26011549,2026-09-19 12:25:35+00:00,10000.0,2640.456680474612,2639.6355905761307,-0.8210898984810766,0.8210898984810766,0.03110618380099445,SushiSwap V2,Uniswap V3,-683.336144,-6.83336144,-688.637518,-6.88637518,SushiSwap V2 -> Uniswap V3,9316.663856,-683.336144,-6.83336144,False
26011550,2026-09-19 12:25:47+00:00,100.0,2640.917194479142,2639.6355905761307,-1.2816039030110569,1.2816039030110569,0.04855230424936543,SushiSwap V2,Uniswap V3,-0.371132,-0.371132,-0.467737,-0.467737,SushiSwap V2 -> Uniswap V3,99.628868,-0.371132,-0.371132,False
