block,timestamp,trade_size_usdc,uniswap_price,sushiswap_price,signed_spread,absolute_spread,relative_spread_pct,spot_buy_dex,spot_sell_dex,route_a_pnl,route_a_return_pct,route_b_pnl,route_b_return_pct,best_route,best_final_usdc,best_pnl_before_gas,best_return_before_gas_pct,profitable_before_gas
26011756,2026-09-19 13:07:23+00:00,1000.0,2638.930135311874,2641.417072362232,2.486937050358036,2.486937050358036,0.0942403520684387,Uniswap V3,SushiSwap V2,-11.347362,-1.1347362,-9.486119,-0.9486119,Uniswap V3 -> SushiSwap V2,990.513881,-9.486119,-0.9486119,False
26011757,2026-09-19 13:07:35+00:00,1000.0,2638.930135311874,2641.417072362232,2.486937050358036,2.486937050358036,0.0942403520684387,Uniswap V3,SushiSwap V2,-11.347362,-1.1347362,-9.486119,-0.9486119,Uniswap V3 -> SushiSwap V2,990.513881,-9.486119,-0.9486119,False
26011758,2026-09-19 13:07:47+00:00,1000.0,2638.930135311874,2641.417072362232,2.486937050358036,2.486937050358036,0.0942403520684387,Uniswap V3,SushiSwap V2,-11.347362,-1.1347362,-9.486119,-0.9486119,Uniswap V3 -> SushiSwap V2,990.513881,-9.486119,-0.9486119,False
26011759,2026-09-19 13:07:59+00:00,1000.0,2638.930135311874,2641.417072362232,2.486937050358036,2.486937050358036,0.0942403520684387,Uniswap V3,SushiSwap V2,-11.347362,-1.1347362,-9.486119,-0.9486119,Uniswap V3 -> SushiSwap V2,990.513881,-9.486119,-0.9486119,False
26011760,2026-09-19 13:08:11+00:00,1000.0,2638.92972590463,2641.417072362232,2.487346457602027,2.487346457602027,0.09425588082870831,Uniswap V3,SushiSwap V2,-11.347516,-1.1347516,-9.485966,-0.9485966,Uniswap V3 -> SushiSwap V2,990.514034,-9.485966,-0.9485966,False
26011761,2026-09-19 13:08:23+00:00,1000.0,2638.92972590463,2641.417072362232,2.487346457602027,2.487346457602027,0.09425588082870831,Uniswap V3,SushiSwap V2,-11.347516,-1.1347516,-9.485966,-0.9485966,Uniswap V3 -> SushiSwap V2,990.514034,-9.485966,-0.9485966,False
26011762,2026-09-19 13:08:35+00:00,1000.0,2638.7941961026963,2641.417072362232,2.6228762595356434,2.6228762595356434,0.0993967723367528,Uniswap V3,SushiSwap V2,-11.398291,-1.1398291,-9.435446,-0.9435446,Uniswap V3 -> SushiSwap V2,990.564554,-9.435446,-0.9435446,False
26011763,2026-09-19 13:08:47+00:00,1000.0,2638.650001392633,2641.417072362232,2.7670709695988682,2.7670709695988682,0.10486691937689563,Uniswap V3,SushiSwap V2,-11.452312,-1.1452312,-9.38169,-0.938169,Uniswap V3 -> SushiSwap V2,990.61831,-9.38169,-0.938169,False
26011764,2026-09-19 13:08:59+00:00,1000.0,2638.650001392633,2641.417072362232,2.7670709695988682,2.7670709695988682,0.10486691937689563,Uniswap V3,SushiSwap V2,-11.452312,-1.1452312,-9.38169,-0.938169,Uniswap V3 -> SushiSwap V2,990.61831,-9.38169,-0.938169,False
26011765,2026-09-19 13:09:11+00:00,1000.0,2638.650001392633,2641.417072362232,2.7670709695988682,2.7670709695988682,0.10486691937689563,Uniswap V3,SushiSwap V2,-11.452312,-1.1452312,-9.38169,-0.938169,Uniswap V3 -> SushiSwap V2,990.61831,-9.38169,-0.938169,False
26011766,2026-09-19 13:09:23+00:00,1000.0,2638.650001392633,2641.417072362232,2.7670709695988682,2.7670709695988682,0.10486691937689563,Uniswap V3,SushiSwap V2,-11.452312,-1.1452312,-9.38169,-0.938169,Uniswap V3 -> SushiSwap V2,990.61831,-9.38169,-0.938169,False
26011767,2026-09-19 13:09:35+00:00,1000.0,2638.6472816430264,2641.417072362232,2.769790719205777,2.769790719205777,0.10497010109972299,Uniswap V3,SushiSwap V2,-11.453331,-1.1453331,-9.380676,-0.9380676,Uniswap V3 -> SushiSwap V2,990.619324,-9.380676,-0.9380676,False
26011768,2026-09-19 13:09:47+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
26011769,2026-09-19 13:09:59+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
26011770,2026-09-19 13:10:23+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
26011771,2026-09-19 13:10:35+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
26011772,2026-09-19 13:10:47+00:00,1000.0,2638.2455646343747,2641.417072362232,3.1715077278573953,3.1715077278573953,0.12021275693102221,Uniswap V3,SushiSwap V2,-11.603766,-1.1603766,-9.230821,-0.9230821,Uniswap V3 -> SushiSwap V2,990.769179,-9.230821,-0.9230821,False
