block,timestamp,trade_size_usdc,uniswap_price,sushiswap_price,signed_spread,absolute_spread,relative_spread_pct,spot_buy_dex,spot_sell_dex,route_a_pnl_before_gas,route_a_return_before_gas_pct,route_b_pnl_before_gas,route_b_return_before_gas_pct,best_route_before_gas,best_final_usdc_before_gas,best_pnl_before_gas,best_return_before_gas_pct,profitable_before_gas,gas_units,base_fee_gwei,priority_fee_gwei,effective_gas_price_gwei,gas_cost_eth,gas_cost_usdc,route_a_net_pnl,route_a_net_return_pct,route_b_net_pnl,route_b_net_return_pct,best_route_after_gas,best_net_pnl_usdc,best_net_return_pct,profitable_after_gas
26015285,2026-09-20 00:57:59+00:00,100.0,2627.6406582760414,2628.195751180361,0.5550929043197258,0.5550929043197258,0.021125145197133405,Uniswap V3,SushiSwap V2,-0.44066,-0.44066,-0.398571,-0.398571,Uniswap V3 -> SushiSwap V2,99.601429,-0.398571,-0.398571,False,300000,0.053383868,1.0,1.053383868,0.0003160151604,0.8303742840986649,-1.2710342840986648,-1.2710342840986648,-1.2289452840986648,-1.2289452840986648,Uniswap V3 -> SushiSwap V2,-1.2289452840986648,-1.2289452840986648,False
26015285,2026-09-20 00:57:59+00:00,500.0,2627.6406582760414,2628.195751180361,0.5550929043197258,0.5550929043197258,0.021125145197133405,Uniswap V3,SushiSwap V2,-3.593675,-0.718735,-3.383423,-0.6766846,Uniswap V3 -> SushiSwap V2,496.616577,-3.383423,-0.6766846,False,300000,0.053383868,1.0,1.053383868,0.0003160151604,0.8303742840986649,-4.424049284098665,-0.884809856819733,-4.213797284098665,-0.842759456819733,Uniswap V3 -> SushiSwap V2,-4.213797284098665,-0.842759456819733,False
26015285,2026-09-20 00:57:59+00:00,1000.0,2627.6406582760414,2628.195751180361,0.5550929043197258,0.5550929043197258,0.021125145197133405,Uniswap V3,SushiSwap V2,-10.641527,-1.0641527,-10.221502,-1.0221502,Uniswap V3 -> SushiSwap V2,989.778498,-10.221502,-1.0221502,False,300000,0.053383868,1.0,1.053383868,0.0003160151604,0.8303742840986649,-11.471901284098665,-1.1471901284098664,-11.051876284098665,-1.1051876284098665,Uniswap V3 -> SushiSwap V2,-11.051876284098665,-1.1051876284098665,False
26015285,2026-09-20 00:57:59+00:00,5000.0,2627.6406582760414,2628.195751180361,0.5550929043197258,0.5550929043197258,0.021125145197133405,Uniswap V3,SushiSwap V2,-187.165507,-3.74331014,-185.085136,-3.70170272,Uniswap V3 -> SushiSwap V2,4814.914864,-185.085136,-3.70170272,False,300000,0.053383868,1.0,1.053383868,0.0003160151604,0.8303742840986649,-187.99588128409866,-3.7599176256819735,-185.91551028409867,-3.7183102056819735,Uniswap V3 -> SushiSwap V2,-185.91551028409867,-3.7183102056819735,False
26015285,2026-09-20 00:57:59+00:00,10000.0,2627.6406582760414,2628.195751180361,0.5550929043197258,0.5550929043197258,0.021125145197133405,Uniswap V3,SushiSwap V2,-689.488843,-6.89488843,-685.379866,-6.85379866,Uniswap V3 -> SushiSwap V2,9314.620134,-685.379866,-6.85379866,False,300000,0.053383868,1.0,1.053383868,0.0003160151604,0.8303742840986649,-690.3192172840986,-6.903192172840987,-686.2102402840986,-6.8621024028409865,Uniswap V3 -> SushiSwap V2,-686.2102402840986,-6.8621024028409865,False
26015286,2026-09-20 00:58:11+00:00,100.0,2626.903863955474,2628.195751180361,1.2918872248870246,1.2918872248870246,0.04917908274502891,Uniswap V3,SushiSwap V2,-0.468576,-0.468576,-0.370655,-0.370655,Uniswap V3 -> SushiSwap V2,99.629345,-0.370655,-0.370655,False,300000,0.051210649,1.0,1.051210649,0.0003153631947,0.8284287947067726,-1.2970047947067724,-1.2970047947067724,-1.1990837947067725,-1.1990837947067725,Uniswap V3 -> SushiSwap V2,-1.1990837947067725,-1.1990837947067725,False
26015286,2026-09-20 00:58:11+00:00,500.0,2626.903863955474,2628.195751180361,1.2918872248870246,1.2918872248870246,0.04917908274502891,Uniswap V3,SushiSwap V2,-3.732868,-0.7465736,-3.244618,-0.6489236,Uniswap V3 -> SushiSwap V2,496.755382,-3.244618,-0.6489236,False,300000,0.051210649,1.0,1.051210649,0.0003153631947,0.8284287947067726,-4.561296794706773,-0.9122593589413545,-4.073046794706772,-0.8146093589413546,Uniswap V3 -> SushiSwap V2,-4.073046794706772,-0.8146093589413546,False
26015286,2026-09-20 00:58:11+00:00,1000.0,2626.903863955474,2628.195751180361,1.2918872248870246,1.2918872248870246,0.04917908274502891,Uniswap V3,SushiSwap V2,-10.918944,-1.0918944,-9.94582,-0.994582,Uniswap V3 -> SushiSwap V2,990.05418,-9.94582,-0.994582,False,300000,0.051210649,1.0,1.051210649,0.0003153631947,0.8284287947067726,-11.747372794706772,-1.1747372794706772,-10.774248794706773,-1.0774248794706773,Uniswap V3 -> SushiSwap V2,-10.774248794706773,-1.0774248794706773,False
26015286,2026-09-20 00:58:11+00:00,5000.0,2626.903863955474,2628.195751180361,1.2918872248870246,1.2918872248870246,0.04917908274502891,Uniswap V3,SushiSwap V2,-188.515018,-3.77030036,-183.780347,-3.67560694,Uniswap V3 -> SushiSwap V2,4816.219653,-183.780347,-3.67560694,False,300000,0.051210649,1.0,1.051210649,0.0003153631947,0.8284287947067726,-189.34344679470678,-3.7868689358941356,-184.60877579470676,-3.6921755158941356,Uniswap V3 -> SushiSwap V2,-184.60877579470676,-3.6921755158941356,False
26015286,2026-09-20 00:58:11+00:00,10000.0,2626.903863955474,2628.195751180361,1.2918872248870246,1.2918872248870246,0.04917908274502891,Uniswap V3,SushiSwap V2,-692.09947,-6.9209947,-682.938323,-6.82938323,Uniswap V3 -> SushiSwap V2,9317.061677,-682.938323,-6.82938323,False,300000,0.051210649,1.0,1.051210649,0.0003153631947,0.8284287947067726,-692.9278987947067,-6.929278987947067,-683.7667517947068,-6.837667517947068,Uniswap V3 -> SushiSwap V2,-683.7667517947068,-6.837667517947068,False
26015287,2026-09-20 00:58:23+00:00,100.0,2626.903863955474,2628.195751180361,1.2918872248870246,1.2918872248870246,0.04917908274502891,Uniswap V3,SushiSwap V2,-0.468576,-0.468576,-0.370655,-0.370655,Uniswap V3 -> SushiSwap V2,99.629345,-0.370655,-0.370655,False,300000,0.053983373,1.0,1.053983373,0.0003161950119,0.8306138985235572,-1.2991898985235573,-1.2991898985235573,-1.2012688985235571,-1.2012688985235571,Uniswap V3 -> SushiSwap V2,-1.2012688985235571,-1.2012688985235571,False
